batch_size,units,epoch,train_loss,train_accuracy
128,27,1000,8.604051936345058e-05,1.0
128,28,1000,0.0001308265216266591,1.0
128,29,1000,9.394578273713705e-05,1.0
128,30,1000,0.000209933601126977,1.0
128,31,1000,4.259420347807463e-05,1.0
128,32,1000,9.213586054102052e-05,1.0
128,33,1000,7.63305058626429e-05,1.0
128,34,1000,6.285837912400893e-05,1.0
128,35,1000,6.76431276360745e-05,1.0
128,36,1000,3.392578713601324e-05,1.0
128,37,1000,0.00010033142893917102,1.0
128,38,1000,4.784575020266857e-05,1.0
128,39,1000,2.7964162711668905e-05,1.0
128,40,1000,3.359044944772904e-05,1.0
128,41,1000,2.135588891860607e-05,1.0
128,42,1000,3.4687377933551033e-05,1.0
128,43,1000,2.8671729012330616e-05,1.0
128,44,1000,2.8353720097129553e-05,1.0
128,45,1000,6.61050498251825e-05,1.0
128,46,1000,1.100403294174157e-05,1.0
128,47,1000,8.306171196181822e-06,1.0
128,48,1000,7.582164499808641e-06,1.0
128,49,1000,4.449912262316502e-05,1.0
128,50,1000,2.2469607870334585e-05,1.0
256,1,1000,2.3004583418369293,0.11225
256,2,1000,1.7963704094290733,0.3005
256,3,1000,1.093629114329815,0.7005
256,4,1000,0.7967244908213615,0.79175
256,5,1000,0.7726797498762608,0.80125
256,6,1000,0.468107545748353,0.87825
256,7,1000,0.3508504880592227,0.911
256,8,1000,0.3305706139653921,0.9135
256,9,1000,0.3567373901605606,0.90725
256,10,1000,0.061880867928266525,0.99125
256,11,1000,0.018786563421599567,0.99925
256,12,1000,0.010044758208096027,1.0
256,13,1000,0.011394911620300263,1.0
256,14,1000,0.003890706313541159,1.0
256,15,1000,0.002124971513694618,1.0
256,16,1000,0.0011204917936993297,1.0
256,17,1000,0.0015072579990373924,1.0
256,18,1000,0.0013364966980589088,1.0
256,19,1000,0.0011249683884670958,1.0
256,20,1000,0.0005379056710808072,1.0
256,21,1000,0.00040620655636303127,1.0
256,22,1000,6.934971383998345e-05,1.0
256,23,1000,0.00027104026139568305,1.0
256,24,1000,0.00040268039811053313,1.0
256,25,1000,0.00020577039140334819,1.0
256,26,1000,2.887859193378972e-05,1.0
256,27,1000,0.00021484322769538267,1.0
256,28,1000,0.00014128699012871948,1.0
256,29,1000,0.00011863112786159036,1.0
256,30,1000,1.80689774538223e-05,1.0
256,31,1000,0.00010048796002593008,1.0
256,32,1000,1.49374678244385e-05,1.0
256,33,1000,9.920882894220995e-05,1.0
256,34,1000,7.741432455077302e-05,1.0
256,35,1000,8.26590267024585e-05,1.0
256,36,1000,1.0475081694494293e-05,1.0
256,37,1000,1.1560978634861385e-05,1.0
256,38,1000,6.047478518667049e-05,1.0
256,39,1000,7.64611434078688e-06,1.0
256,40,1000,6.339001265587285e-05,1.0
256,41,1000,9.438795103733355e-06,1.0
256,42,1000,9.112887437368045e-05,1.0
256,43,1000,6.978879287089512e-05,1.0
256,44,1000,7.218146350851384e-06,1.0
256,45,1000,7.343770221268642e-06,1.0
256,46,1000,6.589668856804565e-06,1.0
256,47,1000,4.813089816479987e-06,1.0
256,48,1000,5.487532945380735e-06,1.0
256,49,1000,4.379906187068627e-06,1.0
256,50,1000,4.951709868805665e-06,1.0

"La ejecución ha durado 57 hora(s), 36 minuto(s) y 20 segundo(s)."
