subset,units,epoch,train_loss,train_accuracy
subset_2,22,1000,0.0007697841647313908,1.0
subset_2,23,1000,0.00024772142842266476,1.0
subset_2,24,1000,0.00033525672552059405,1.0
subset_2,25,1000,0.0003398338612896623,1.0
subset_2,26,1000,0.00032615813142911065,1.0
subset_2,27,1000,3.9940317492437316e-05,1.0
subset_2,28,1000,0.0001268335818167543,1.0
subset_2,29,1000,0.00012197083560749888,1.0
subset_2,30,1000,0.00011704663393174997,1.0
subset_2,31,1000,1.366126667790013e-05,1.0
subset_2,32,1000,0.00015566883303108625,1.0
subset_2,33,1000,2.3530465682597423e-05,1.0
subset_2,34,1000,1.5257966026638314e-05,1.0
subset_2,35,1000,1.5342978315402434e-05,1.0
subset_2,36,1000,0.0001228917617481784,1.0
subset_2,37,1000,0.00010383270773672848,1.0
subset_2,38,1000,8.996985752673936e-05,1.0
subset_2,39,1000,1.4270140809458098e-05,1.0
subset_2,40,1000,9.036121809913311e-06,1.0
subset_2,41,1000,0.00011570837796170963,1.0
subset_2,42,1000,9.242921305485652e-05,1.0
subset_2,43,1000,8.236515895987395e-06,1.0
subset_2,44,1000,5.9468922245287104e-05,1.0
subset_2,45,1000,5.213300255491049e-06,1.0
subset_2,46,1000,7.666042677101359e-06,1.0
subset_2,47,1000,8.476045707084268e-06,1.0
subset_2,48,1000,5.357516855042377e-06,1.0
subset_2,49,1000,5.633515399949829e-06,1.0
subset_2,50,1000,5.521904569150138e-06,1.0
subset_2,60,1000,4.358808084248267e-06,1.0
subset_2,70,1000,3.212980786315711e-06,1.0
subset_2,80,1000,8.661163548140394e-06,1.0
subset_2,90,1000,7.266245518167125e-06,1.0
subset_2,100,1000,2.6892055529970094e-05,1.0
subset_2,110,1000,1.506175777876706e-06,1.0
subset_2,120,1000,1.2191656892923675e-06,1.0
subset_2,130,1000,1.1884437824960514e-06,1.0
subset_2,140,1000,1.1033149469596992e-06,1.0
subset_2,150,1000,1.0733327613365873e-06,1.0
subset_2,160,1000,9.367736133469862e-07,1.0
subset_2,170,1000,8.527453267959118e-07,1.0
subset_2,180,1000,8.652124563468533e-07,1.0
subset_2,190,1000,8.565230267265633e-07,1.0
subset_2,200,1000,6.995031327505785e-07,1.0
subset_3,1,1000,1.7752335369586945,0.32225
subset_3,2,1000,1.307115726172924,0.59225
subset_3,3,1000,0.9722876623272896,0.7415
subset_3,4,1000,1.0121221207082272,0.736
subset_3,5,1000,0.5856185667216778,0.84575
subset_3,6,1000,0.7156535312533379,0.822
subset_3,7,1000,0.29016970936208963,0.93625
subset_3,8,1000,0.4020991772413254,0.906
subset_3,9,1000,0.1701737390831113,0.963
subset_3,10,1000,0.09440599102526903,0.98375
subset_3,11,1000,0.05243831477127969,0.9955
subset_3,12,1000,0.010939245956251398,0.9995
subset_3,13,1000,0.010488093335879967,0.99925
subset_3,14,1000,0.005797234436613508,1.0
subset_3,15,1000,0.004546562951873057,0.99975
subset_3,16,1000,0.0011804037530964706,1.0
subset_3,17,1000,0.0012764360071741976,1.0
subset_3,18,1000,0.0003818586792476708,1.0
subset_3,19,1000,0.000725253328710096,1.0
subset_3,20,1000,0.0006093281735957135,1.0
subset_3,21,1000,0.00012765407200276968,1.0
subset_3,22,1000,0.0005569515833485639,1.0
subset_3,23,1000,0.0010081809159601107,1.0
subset_3,24,1000,0.00043044990161433816,1.0
subset_3,25,1000,0.00043160700624866877,1.0
subset_3,26,1000,0.00017969455802813172,1.0
subset_3,27,1000,0.0009067326172953472,1.0
subset_3,28,1000,0.0002862528444893542,1.0
subset_3,29,1000,0.0001505880723016162,1.0
subset_3,30,1000,2.5328279548375576e-05,1.0
subset_3,31,1000,8.58253247315588e-05,1.0
subset_3,32,1000,9.078612583834911e-05,1.0
subset_3,33,1000,0.000182631830284663,1.0
subset_3,34,1000,0.00019285609505459433,1.0
subset_3,35,1000,0.0002710762555580004,1.0
subset_3,36,1000,0.000101104689292697,1.0
subset_3,37,1000,0.00011386073720132117,1.0
subset_3,38,1000,5.422736035143316e-05,1.0
subset_3,39,1000,8.39147232909454e-05,1.0
subset_3,40,1000,8.123484394673142e-05,1.0
subset_3,41,1000,8.53751303111494e-05,1.0
subset_3,42,1000,8.088795834737539e-05,1.0
subset_3,43,1000,7.770561569486745e-05,1.0
subset_3,44,1000,5.360339741855569e-05,1.0
subset_3,45,1000,5.801243219138996e-06,1.0
subset_3,46,1000,0.00012172538799859467,1.0
subset_3,47,1000,8.751374167559334e-06,1.0
subset_3,48,1000,0.0002995897166329087,1.0
subset_3,49,1000,6.654816047557688e-05,1.0
subset_3,50,1000,2.5005992483784212e-05,1.0
subset_3,60,1000,4.1801071830605e-06,1.0
subset_3,70,1000,5.127790723236103e-05,1.0
subset_3,80,1000,2.1371571747863527e-06,1.0
subset_3,90,1000,1.8746617342912941e-06,1.0
subset_3,100,1000,2.7904937724088086e-05,1.0
subset_3,110,1000,2.5467272052992485e-05,1.0
subset_3,120,1000,2.0481376964198716e-05,1.0
subset_3,130,1000,2.8070766916243883e-05,1.0
subset_3,140,1000,1.0795673368590997e-06,1.0
subset_3,150,1000,2.261138934045448e-05,1.0
subset_3,160,1000,8.54217358181586e-07,1.0
subset_3,170,1000,8.374948059497456e-07,1.0
subset_3,180,1000,7.810971993649218e-07,1.0
subset_3,190,1000,7.513707434014805e-07,1.0
subset_3,200,1000,5.961751810446003e-06,1.0

"La ejecución ha durado 53 hora(s), 8 minuto(s) y 17 segundo(s)."
